"job_role","industry","country","year","automation_risk_percent","ai_replacement_score","skill_gap_index","salary_before_usd","salary_change_percent","skill_demand_growth_percent","remote_feasibility_score","ai_adoption_level","education_requirement_level","reskilling_urgency_score","year_category","risk_bracket"
"Teacher","Manufacturing","Brazil",2025,22.27,23.96,20.09,94299.32,-1.11,-4.04,78.05,34.76,"2",15.268,"Future","Low Risk"
"Data Analyst","Retail","Singapore",2022,46.54,52.04,92.72,58157.05,-10.92,1.84,99.32,92.7,"5",49.708,"Past","Medium Risk"
"HR Manager","Technology","Canada",2025,47.8,54.34,52.1,104830.28,1.92,1.91,21.49,82.61,"3",35.326,"Future","Medium Risk"
"Marketing Specialist","Energy","UK",2023,64.74,70.15,3.62,66375.4,-7.86,-8.31,17.89,93.7,"5",29.34,"Present","Medium Risk"
"Truck Driver","Education","Australia",2024,63.77,58.81,39.7,83664.3,3.89,29.93,92.75,49.7,"5",38.585,"Present","Medium Risk"
"Teacher","Energy","Australia",2026,79.45,90.62,20.85,141671.43,0.82,4.01,44.26,87.8,"2",38.281,"Future","High Risk"
"Customer Support Rep","Transportation","Germany",2026,85.76,96.26,79,66561.5,-1.75,-2.56,25.62,69.5,"4",58.529,"Future","High Risk"
"Software Engineer","Education","Japan",2025,24.23,28.84,64.1,128697.67,-0.25,13.18,64.56,76.48,"4",28.997,"Future","Low Risk"
"Teacher","Healthcare","Japan",2020,22.24,22.26,39.87,47564.88,-6.1,3.13,12.32,13.52,"2",22.687,"Past","Low Risk"
"Financial Analyst","Education","India",2026,77.42,78.95,96.58,81899.75,0.64,-14.75,49.56,10.57,"4",60.134,"Future","High Risk"
"Data Analyst","Energy","USA",2025,44.86,39.76,61.96,108024.13,-2.13,19.91,15.23,99.49,"2",37.171,"Future","Medium Risk"
"Teacher","Healthcare","India",2023,14.04,15.14,98.37,58701.61,-6.13,1.98,72.29,6.23,"3",36.966,"Present","Low Risk"
"Mechanical Engineer","Transportation","India",2026,45.66,54.73,81.4,103826.33,9.5,-9.85,57.43,42.61,"3",45.534,"Future","Medium Risk"
"Financial Analyst","Transportation","Australia",2025,19.15,22.11,44.98,53354.7,-11.7,-13.02,84.48,73.36,"4",24.664,"Future","Low Risk"
"Financial Analyst","Technology","India",2021,63.85,51.36,41.62,87761.3,-5.46,8.92,58.18,21.52,"3",39.664,"Past","Medium Risk"
"Customer Support Rep","Finance","Singapore",2020,25.85,23.17,97.59,126184.45,-0.15,10.79,19.88,54.8,"1",39.662,"Past","Low Risk"
"Truck Driver","Healthcare","Canada",2020,56.81,64.63,9.81,88588.94,-4.43,-3.85,76.36,47.6,"1",26.996,"Past","Medium Risk"
"Mechanical Engineer","Technology","Canada",2022,36.31,34.78,45.94,124201.99,-6.69,15.4,71.93,43.76,"3",30.313,"Past","Medium Risk"
"Teacher","Healthcare","Germany",2024,27.83,31.62,3.84,138211.44,21.57,-1.06,69.34,89.51,"4",18.755,"Present","Low Risk"
"Marketing Specialist","Healthcare","UK",2021,54.57,57.05,6.67,92208.96,4.6,-1.78,56.1,68.02,"1",25.209,"Past","Medium Risk"
"Marketing Specialist","Transportation","Germany",2023,12.92,10.77,71.63,38650.12,-13.47,-4.72,41.47,77.47,"5",30.698,"Present","Low Risk"
"Accountant","Manufacturing","Japan",2025,56.3,49.21,17.41,41807.48,11.86,12.19,33.85,2.09,"3",31.301,"Future","Medium Risk"
"Truck Driver","Retail","USA",2026,30.75,36.51,29.54,122306.78,-14.22,20.01,28.51,12.14,"4",25.428,"Future","Low Risk"
"HR Manager","Healthcare","India",2023,53.05,58.88,64.39,93636.26,-6.44,14.28,98.2,60.19,"3",42.469,"Present","Medium Risk"
"Marketing Specialist","Retail","Singapore",2025,50.77,55.81,81.18,108777.43,-3.65,-3.39,93.53,22.46,"3",45.757,"Future","Medium Risk"
"Truck Driver","Retail","Germany",2023,51.05,49.66,43.94,103552.75,-2.21,2.23,89.82,64.58,"4",34.265,"Present","Medium Risk"
"Data Analyst","Manufacturing","Singapore",2024,20.01,22.54,86.14,131581.72,-1.67,7.83,77.95,46.05,"3",34.347,"Present","Low Risk"
"Marketing Specialist","Retail","Canada",2020,68.94,75.24,77.64,108739.42,1.81,-7.97,98.62,93.74,"4",51.411,"Past","High Risk"
"HR Manager","Technology","USA",2024,13.02,11.28,13.17,117117.59,-5.29,10.86,55.53,84.07,"4",10.746,"Present","Low Risk"
"HR Manager","Manufacturing","Australia",2021,61.3,62.33,59.03,91003.27,5.66,-12.61,72,87.33,"2",43.927,"Past","Medium Risk"
"Marketing Specialist","Retail","UK",2025,54.54,60.24,16.01,85386.9,-2.09,-3.51,82.01,20.4,"1",27.246,"Future","Medium Risk"
"Software Engineer","Retail","Japan",2020,38.86,42.48,61.6,52562.97,11.97,-1.1,59.88,0.52,"5",37.615,"Past","Medium Risk"
"Mechanical Engineer","Healthcare","India",2022,63.27,51.51,74.57,54297.67,-1.21,9.2,39.42,14.89,"3",48.042,"Past","Medium Risk"
"Teacher","Healthcare","Germany",2021,31.39,36.12,99.63,74197.14,17.27,1,89.76,59.3,"5",47.626,"Past","Low Risk"
"Mechanical Engineer","Retail","UK",2022,37.41,36.1,69.56,30386.19,-15.26,17.63,81.48,9.3,"4",40.41,"Past","Medium Risk"
"HR Manager","Education","India",2023,51.17,50.78,64.23,37782.43,15.42,25.06,60.46,60.35,"1",44.363,"Present","Medium Risk"
"Accountant","Manufacturing","Singapore",2026,57.35,64.35,26.98,129005.93,-8.18,4.97,15.27,33.42,"5",33.488,"Future","Medium Risk"
"Mechanical Engineer","Finance","Singapore",2020,64.94,70.34,78.86,92072.29,-11.42,3.06,39.54,43.4,"3",53.06,"Past","Medium Risk"
"Financial Analyst","Finance","Japan",2022,16.2,14.39,59.82,118279.57,-10.24,23.54,67.26,78.57,"3",27.498,"Past","Low Risk"
"Marketing Specialist","Transportation","Australia",2020,18.28,17.62,83.98,76059.95,18.85,20.43,26.6,36.22,"2",38.161,"Past","Low Risk"
"Truck Driver","Technology","Brazil",2022,48.42,39.24,2.42,129803.65,1.41,-12.68,36.89,94.07,"5",20.517,"Past","Medium Risk"
"Customer Support Rep","Finance","Japan",2025,43.15,41.94,87.27,131032.03,5.14,-0.33,51.24,48.3,"3",44.983,"Future","Medium Risk"
"Teacher","Finance","UK",2020,19.34,16.1,72.79,89575.34,16.61,0.43,78.9,15.89,"1",34.556,"Past","Low Risk"
"HR Manager","Energy","India",2020,52.72,45.03,75.14,108834.62,-1,2.96,33.55,24.7,"2",43.93,"Past","Medium Risk"
"Financial Analyst","Healthcare","Singapore",2023,73.44,66.08,27.19,121127.79,14.93,2.29,15.88,48.76,"3",42.012,"Present","High Risk"
"Financial Analyst","Transportation","UK",2023,12.35,10.19,90.64,46709.44,-24.24,13.84,41.26,89.98,"1",39.404,"Present","Low Risk"
"Truck Driver","Transportation","Canada",2020,26.53,28.27,96.34,97220.18,-15.63,-0.29,75.77,98.13,"3",44.203,"Past","Low Risk"
"Customer Support Rep","Energy","Japan",2021,42.96,45.61,19.81,97839.63,4.66,4.64,64.77,34.95,"3",24.525,"Past","Medium Risk"
"Data Analyst","Education","Brazil",2025,7.99,6.87,22.53,60116,2.01,16.49,57.11,11.48,"3",10.558,"Future","Low Risk"
"Software Engineer","Transportation","Canada",2021,60.21,65.58,6.77,114940.21,-8.28,5.86,51.25,48.47,"1",28.599,"Past","Medium Risk"
"Truck Driver","Finance","Germany",2025,36.6,43.13,85,110282.68,-23.63,-5.1,68.59,54.54,"5",47.229,"Future","Medium Risk"
"Software Engineer","Technology","Australia",2021,5,5.03,80.64,85108.79,-6.46,-2.99,24.82,33.02,"2",28.13,"Past","Low Risk"
"Marketing Specialist","Manufacturing","India",2026,62.97,63.46,20.49,135339.61,-2.92,-10.63,98.65,77.2,"5",32.211,"Future","Medium Risk"
"Customer Support Rep","Manufacturing","Germany",2022,26.9,22.22,46.39,139106.42,-1.8,36.93,19.49,65.68,"2",25.217,"Past","Low Risk"
"Marketing Specialist","Technology","Canada",2026,67.55,64.32,77.56,145737.2,1.13,-9.38,35.84,79.29,"2",50.627,"Future","High Risk"
"Accountant","Retail","UK",2020,50.43,53.15,79.79,77516.46,0.68,13.53,24.22,69.59,"1",44.313,"Past","Medium Risk"
"Accountant","Technology","Australia",2026,65.53,60.73,85.72,138737.19,-3.35,0.96,26.58,89.4,"2",52.933,"Future","Medium Risk"
"Marketing Specialist","Education","USA",2021,55.8,48.04,44.03,103835.76,0.24,19.12,97.04,41.78,"3",35.601,"Past","Medium Risk"
"Software Engineer","Healthcare","Singapore",2024,68.89,73.51,63.47,49914.59,-1.87,14.86,24.6,1.26,"1",47.158,"Present","High Risk"
"Data Analyst","Energy","Japan",2026,39.18,39.61,71.94,136830.97,1.94,1.47,26.87,85.82,"3",37.836,"Future","Medium Risk"
"Financial Analyst","Finance","Japan",2024,67.33,68.43,71.02,67722.01,13.17,3.82,51.33,35.78,"2",52.189,"Present","High Risk"
"Marketing Specialist","Technology","Brazil",2022,44.59,50.45,33.52,50851.39,8.41,10.47,19.06,23.99,"4",30.415,"Past","Medium Risk"
"Software Engineer","Technology","Japan",2026,9.94,9.33,45.04,119859.16,12.17,20.21,41.71,84.14,"4",21.139,"Future","Low Risk"
"Teacher","Finance","Japan",2025,42.99,51.23,63.41,45151.77,-11.79,16.88,71.77,6.96,"4",39.756,"Future","Medium Risk"
"Data Analyst","Finance","Australia",2024,12.24,13.98,22.72,130444.94,8.71,-8.46,72.47,51.27,"2",14.325,"Present","Low Risk"
"Data Analyst","Healthcare","Canada",2024,21.37,18.92,3.32,66473.57,5.14,6.8,88.41,76.61,"5",11.086,"Present","Low Risk"
"Financial Analyst","Education","Singapore",2024,65.19,69.49,26.03,138863.4,6.73,24,19.99,44.71,"5",35.904,"Present","Medium Risk"
"HR Manager","Energy","Brazil",2024,42.23,48.38,54.66,75648.07,-5.35,4.09,76.59,91.81,"4",34.895,"Present","Medium Risk"
"Data Analyst","Finance","Brazil",2025,19.6,22.41,29.22,139292.42,7.39,11.15,11.62,96.28,"2",18.823,"Future","Low Risk"
"Teacher","Energy","Germany",2023,60.87,56.11,82.94,63782.54,3.67,23.38,18.69,24.19,"3",50.331,"Present","Medium Risk"
"Truck Driver","Transportation","Singapore",2025,25.87,25.55,30.13,101802.9,-10.54,-5.68,76.89,4.81,"1",22.549,"Future","Low Risk"
"Mechanical Engineer","Transportation","Australia",2025,73.2,83.52,66.78,101186.59,-1.04,3.31,81.51,3.47,"3",49.626,"Future","High Risk"
"Mechanical Engineer","Healthcare","Japan",2020,50.8,60.86,85.57,92573.48,-9.27,7.38,18.45,90.96,"1",48.772,"Past","Medium Risk"
"Data Analyst","Finance","Singapore",2020,46.84,53.01,87.9,98612.68,-27.03,11.78,38.53,43.46,"3",53.215,"Past","Medium Risk"
"Accountant","Technology","Brazil",2024,64.17,66.79,89.25,83205.6,16.12,18.15,63.25,70.26,"3",57.279,"Present","Medium Risk"
"Data Analyst","Transportation","Australia",2026,16.62,16.7,10.42,76141.36,21.71,3.24,95.55,60.07,"4",16.287,"Future","Low Risk"
"Software Engineer","Retail","Canada",2022,52.05,52.18,63.41,38511.87,-7.42,-8.2,52.52,4.56,"1",42.069,"Past","Medium Risk"
"Marketing Specialist","Manufacturing","UK",2025,19.8,18.03,97.15,69761.64,-14.06,4.17,64.97,28.07,"4",41.283,"Future","Low Risk"
"Customer Support Rep","Finance","Australia",2026,39.49,39.75,0.55,30919.68,-3.09,-2.52,82.23,57.2,"5",16.888,"Future","Medium Risk"
"Mechanical Engineer","Finance","Canada",2024,45.89,42.1,93.18,77641.8,2.13,-2.52,20.25,34.52,"2",46.949,"Present","Medium Risk"
"Teacher","Technology","Canada",2020,45.52,52.33,49.35,114271.05,-7.08,-10.14,47.96,41.1,"2",35.137,"Past","Medium Risk"
"HR Manager","Retail","Australia",2022,73.53,79.83,60.79,67124.73,-4.83,6.47,33.18,5.95,"1",49.098,"Past","High Risk"
"Accountant","Healthcare","Singapore",2020,52.27,56.17,11.45,76060.67,-21.52,-2.19,20.89,41.89,"2",30.799,"Past","Medium Risk"
"Software Engineer","Finance","Brazil",2021,52.58,43.56,8.02,72572.56,1.69,9.42,71.08,36.19,"4",23.945,"Past","Medium Risk"
"Teacher","Energy","Australia",2021,51.56,41.45,63.61,139594.43,9.53,7.87,75.16,12.06,"3",42.566,"Past","Medium Risk"
"HR Manager","Education","India",2020,73.17,60.48,53.4,47056.45,-0.33,2.92,36.55,48.6,"2",45.387,"Past","High Risk"
"Accountant","Technology","India",2022,50.4,41.21,12.3,97037.09,12.66,-3.66,68.71,84.56,"4",27.648,"Past","Medium Risk"
"Teacher","Energy","Japan",2023,58.47,56.84,67.3,63045.74,10.01,-1.71,50.18,79.84,"3",46.581,"Present","Medium Risk"
"Customer Support Rep","Finance","Australia",2023,82.57,94.38,91.66,81718.23,7.93,-12.49,43.41,60.11,"1",62.905,"Present","High Risk"
"HR Manager","Energy","Brazil",2025,59.39,63.87,37.46,50023.22,-11.06,2.85,90.11,34.59,"3",38.312,"Future","Medium Risk"
"Software Engineer","Manufacturing","Singapore",2024,10.81,8.76,64.58,106428.28,-5.62,2.91,46.87,31.12,"1",25.384,"Present","Low Risk"
"Software Engineer","Manufacturing","Canada",2021,47.4,49.4,36.46,56147.11,-0.26,7.8,71.94,14.06,"2",29.976,"Past","Medium Risk"
"HR Manager","Retail","Australia",2020,43.99,35.68,50.55,145682.09,-4.36,3.9,12.79,38.8,"1",34.069,"Past","Medium Risk"
"Truck Driver","Transportation","UK",2021,36.2,29.3,75.62,85022.76,5.61,2.05,20.45,95.59,"4",38.849,"Past","Medium Risk"
"Financial Analyst","Manufacturing","Brazil",2024,31.98,36.95,60.29,129204.88,-1.07,9.48,44.7,34.04,"3",31.2,"Present","Low Risk"
"Data Analyst","Transportation","USA",2023,37.9,32.66,55.37,95004.58,6.38,10.01,49.64,30.23,"1",33.685,"Present","Medium Risk"
"Truck Driver","Finance","Australia",2024,43.15,37.88,5.76,71093.76,-19.79,12.48,62.24,13.92,"4",24.925,"Present","Medium Risk"
"Marketing Specialist","Transportation","Singapore",2022,41.08,43.16,48.89,78213.46,11.01,24.58,65.86,20.13,"1",34.402,"Past","Medium Risk"
"Teacher","Technology","Australia",2021,37.66,30.72,47.55,95162.95,2.54,9.68,58,87,"5",30.091,"Past","Medium Risk"
"Truck Driver","Education","India",2023,34.15,38.11,12.48,125305.28,6.22,1.3,94.96,14.88,"1",19.27,"Present","Medium Risk"
"Customer Support Rep","Transportation","Singapore",2024,57.39,68.43,48.34,133625.7,-17.73,17.62,35.72,20.32,"1",42.777,"Present","Medium Risk"
"Teacher","Retail","Australia",2021,63.33,60.45,51.13,89079.06,10.56,7.23,98.27,40.76,"3",43.839,"Past","Medium Risk"
"Accountant","Finance","Brazil",2025,67.93,75.11,57.35,144725.66,-1.97,3.49,86.86,43.91,"1",44.968,"Future","High Risk"
"Financial Analyst","Manufacturing","Australia",2022,69.29,80.18,6.25,136015.77,5.94,-24.4,66.39,92.64,"2",31.373,"Past","High Risk"
"Customer Support Rep","Finance","UK",2022,26.34,26.09,68.77,116724.83,-7.73,9.07,36.95,35.87,"2",33.486,"Past","Low Risk"
"Accountant","Healthcare","India",2021,66.31,60.44,21.07,144893.76,9.53,10.13,36.52,1.43,"4",35.704,"Past","Medium Risk"
"Truck Driver","Energy","Australia",2026,76.65,86.9,74.05,47142.03,8,12.54,69.27,76.61,"3",55.275,"Future","High Risk"
"Accountant","Energy","India",2023,69.21,72.36,8.86,88515.34,-1.63,-2.45,46.64,6.6,"4",30.831,"Present","High Risk"
"HR Manager","Retail","USA",2022,34.42,29.06,80.82,143722.56,-18.94,7.13,16.92,50.06,"5",43.696,"Past","Medium Risk"
"Data Analyst","Retail","Japan",2023,55.62,60.22,5.02,38748.22,-16.08,-2.63,30.91,28.1,"1",28.578,"Present","Medium Risk"
"Software Engineer","Education","Canada",2020,56.24,65.9,40.51,138733.32,-2.65,-15.04,30.34,64.05,"1",35.444,"Past","Medium Risk"
"Marketing Specialist","Transportation","Japan",2024,78.53,81.78,35.78,107738.09,-30.2,6.84,62.73,62.48,"5",51.206,"Present","High Risk"
"Software Engineer","Energy","Germany",2022,5.02,5.39,24.19,115674.32,4.76,10.05,59.73,52.02,"5",10.693,"Past","Low Risk"
"Truck Driver","Healthcare","USA",2023,35,38.86,27.14,89603.45,-6.95,0.91,66.66,5.43,"1",24.227,"Present","Medium Risk"
"Mechanical Engineer","Finance","Brazil",2025,62.41,57.85,0.01,91335.5,-3.28,6.55,85.54,0.38,"2",25.951,"Future","Medium Risk"
"Software Engineer","Manufacturing","Japan",2023,17.28,18.94,31.63,42227.09,-13.46,-3.19,85.84,31.33,"5",20.439,"Present","Low Risk"
"Financial Analyst","Healthcare","Australia",2022,65.23,75.45,43.38,139193.18,3.9,3.97,18.04,68.7,"3",40.276,"Past","Medium Risk"
"Teacher","Transportation","Australia",2025,44.57,42.56,63.27,114462.85,9.65,17.36,96.94,76.1,"5",39.704,"Future","Medium Risk"
"Software Engineer","Education","India",2022,66.55,71.95,29.81,42643.79,6.16,17.04,14.34,36.01,"1",37.411,"Past","Medium Risk"
"Financial Analyst","Transportation","Canada",2022,76.98,76.99,43.27,84923.95,-5.51,-7.21,43.28,5.24,"5",45.426,"Past","High Risk"
"Accountant","Education","India",2024,63.73,61.6,82.22,132041.76,6.22,-6.39,52.51,88.02,"2",52.024,"Present","Medium Risk"
"Mechanical Engineer","Retail","Singapore",2021,25.1,26.89,60.78,65436.18,3.76,-4.02,76.47,31.56,"5",29.402,"Past","Low Risk"
"Data Analyst","Retail","Brazil",2023,45.14,43.24,71.32,53905.83,-3.29,11.03,43.1,5.81,"3",40.439,"Present","Medium Risk"
"Accountant","Finance","Singapore",2024,17.81,17.92,26.76,130257.63,-2.29,-4.94,54.36,40.43,"3",15.839,"Present","Low Risk"
"Software Engineer","Education","Canada",2021,37.17,38.58,0.99,85691.42,0.22,10.47,70.98,31.19,"2",15.231,"Past","Medium Risk"
"Mechanical Engineer","Energy","Germany",2021,64.18,71.19,52.13,147121.66,6.73,10.92,20.82,26.56,"2",43.33,"Past","Medium Risk"
"Accountant","Finance","Canada",2026,11.23,10.3,77.31,92155.26,-12.39,-9.68,10.12,29.98,"1",31.402,"Future","Low Risk"
"Financial Analyst","Technology","Australia",2026,55.25,65.73,84.71,32831.4,1.73,7.44,80.23,45.8,"5",48.032,"Future","Medium Risk"
"Accountant","Transportation","UK",2021,37.86,34.88,6.57,57388.24,-1.03,-11.43,77.27,47.38,"2",17.424,"Past","Medium Risk"
"Marketing Specialist","Healthcare","Japan",2020,14.05,16.62,94.27,124222.75,0.21,7.31,96.65,7.56,"4",33.964,"Past","Low Risk"
"Mechanical Engineer","Manufacturing","Japan",2024,35.6,31.69,19.58,46896.35,12.82,10.58,62.05,14.7,"3",23.96,"Present","Medium Risk"
"Truck Driver","Manufacturing","Brazil",2021,81.78,86.23,38.82,110895.64,-8.11,-7.58,92.57,29.05,"3",46.791,"Past","High Risk"
"Truck Driver","Manufacturing","Australia",2025,57.9,66.93,70.77,37464.39,-8.35,25.9,22.08,95.79,"5",46.896,"Future","Medium Risk"
"Truck Driver","Energy","Canada",2026,62.08,55.67,50.06,111554.44,-1.9,1.43,82.63,45.97,"4",40.42,"Future","Medium Risk"
"Financial Analyst","Transportation","UK",2026,48.26,46.96,4.39,49889.97,-14.24,2.33,14.5,84.36,"2",24.893,"Future","Medium Risk"
"Marketing Specialist","Healthcare","Canada",2020,78.68,87.91,85.38,59037.26,-15.98,9.62,49.33,59.36,"4",61.88,"Past","High Risk"
"Mechanical Engineer","Finance","Brazil",2026,15.12,15.86,98.12,52812.92,4.26,5.19,78.16,16.17,"1",36.762,"Future","Low Risk"
"HR Manager","Finance","UK",2022,43.38,47.17,24.73,106873.82,-9.56,9.72,60.86,77.16,"4",27.639,"Past","Medium Risk"
"Financial Analyst","Healthcare","Singapore",2020,44.92,36.16,0.9,72843.52,-12.5,11.05,38.95,84.8,"2",21.988,"Past","Medium Risk"
"Truck Driver","Education","USA",2023,76.02,63.72,42.87,33500.37,21,2.53,20.67,28.89,"1",49.569,"Present","High Risk"
"Teacher","Education","Germany",2023,37.85,44.2,99.33,35389.36,-6.49,18.21,45.32,75.43,"1",46.886,"Present","Medium Risk"
"Mechanical Engineer","Manufacturing","USA",2022,74.29,87.69,57.71,72854.54,-6.85,12.91,60.77,35.86,"1",49.084,"Past","High Risk"
"Mechanical Engineer","Healthcare","UK",2020,55.96,50.15,19.16,140188.69,0.14,-4.54,29.88,3.89,"3",28.174,"Past","Medium Risk"
"Truck Driver","Healthcare","Japan",2023,27.52,23.95,86.68,63897.45,1.06,10.84,49.3,58.01,"5",37.33,"Present","Low Risk"
"Software Engineer","Finance","USA",2022,36.17,39.91,28.25,72366.05,-1.89,14.22,80.23,47.63,"2",23.51,"Past","Medium Risk"
"Accountant","Transportation","India",2026,44.83,39.53,59.11,52336.31,8.87,0.79,28.64,7.12,"3",38.326,"Future","Medium Risk"
"Customer Support Rep","Retail","India",2020,29.83,35.09,50.69,79129.45,4.37,9.04,39.9,69.36,"2",28.45,"Past","Low Risk"
"Teacher","Energy","India",2020,63.98,67.94,15.16,135105.97,-17.79,8.2,48.27,3.76,"4",35.477,"Past","Medium Risk"
"Marketing Specialist","Technology","Brazil",2024,18.95,20.96,0,79987.9,-6.76,5.34,97.58,22.61,"2",9.608,"Present","Low Risk"
"Accountant","Retail","Singapore",2020,31.29,28.84,23.04,30176.86,6.79,-6.49,76.77,84.84,"5",21.465,"Past","Low Risk"
"Mechanical Engineer","Manufacturing","Singapore",2021,39.58,36.46,32.53,115514.56,-4.64,9.62,43.38,90.19,"1",26.983,"Past","Medium Risk"
"Financial Analyst","Education","India",2024,66.47,79.36,75.42,77183.42,17.39,14.79,17.06,54.45,"5",54.431,"Present","Medium Risk"
"Financial Analyst","Technology","Singapore",2026,59.65,51.71,78.06,100052.73,6.5,-10.03,36.69,71.44,"4",49.228,"Future","Medium Risk"
"Software Engineer","Transportation","Australia",2022,53.13,44.68,51.39,91066.87,6.07,3.17,84.48,69.72,"1",38.49,"Past","Medium Risk"
"Mechanical Engineer","Finance","Australia",2021,60,59.08,92.1,113351.45,6.66,9.22,34.67,80.71,"1",53.628,"Past","Medium Risk"
"Marketing Specialist","Education","UK",2020,23.67,22.2,33.56,147423.06,4.4,12.79,75.44,56.21,"3",20.856,"Past","Low Risk"
"Financial Analyst","Education","UK",2026,76.3,76.18,38.05,49564.24,6.96,13.49,44.59,2.52,"4",44.023,"Future","High Risk"
"Truck Driver","Healthcare","UK",2020,83.73,67.37,70.37,146430.85,-15.18,1.43,73.44,81.71,"4",59.157,"Past","High Risk"
"Software Engineer","Retail","Germany",2020,38.25,45.4,5.17,90575.47,6.99,9.21,26.13,80,"2",18.948,"Past","Medium Risk"
"Software Engineer","Education","Canada",2024,38.69,37.09,13.17,133835.49,-4.79,-3.63,36.1,87.14,"4",20.864,"Present","Medium Risk"
"Financial Analyst","Energy","Canada",2020,57.09,63.86,25.05,104984.89,12.12,7.61,91.55,1.22,"2",33.987,"Past","Medium Risk"
"HR Manager","Education","USA",2026,57.18,46.93,54.89,64515.93,-10.29,-8.53,65.92,33.4,"3",42.426,"Future","Medium Risk"
"HR Manager","Finance","Australia",2023,61.29,58.95,6.84,124051.18,-5.36,-12.07,71.69,33.25,"4",28.176,"Present","Medium Risk"
"Truck Driver","Transportation","Australia",2021,28.96,27.5,94.44,107008.13,11.17,19.48,27.91,41.83,"4",43.267,"Past","Low Risk"
"Truck Driver","Education","Brazil",2022,77.57,65.2,27.79,63158.29,3.44,4.51,16.08,51.87,"1",40.397,"Past","High Risk"
"Teacher","Finance","Singapore",2024,22.56,26.8,11.33,78432.12,8.9,15.35,48.05,34.65,"2",15.093,"Present","Low Risk"
